in s,C1 in V
-2.0251920E+00,1.22559E-01
-2.0251608E+00,1.24512E-01
-2.0251296E+00,1.24512E-01
-2.0250984E+00,1.25488E-01
-2.0250672E+00,1.26465E-01
-2.0250360E+00,1.31348E-01
-2.0250048E+00,1.29395E-01
-2.0249736E+00,1.32324E-01
-2.0249424E+00,1.26465E-01
-2.0249112E+00,1.28418E-01
-2.0248800E+00,1.30371E-01
-2.0248488E+00,1.31348E-01
-2.0248176E+00,1.33301E-01
-2.0247864E+00,1.35254E-01
-2.0247552E+00,1.32324E-01
-2.0247240E+00,1.32324E-01
-2.0246928E+00,1.32324E-01
-2.0246616E+00,1.33301E-01
-2.0246304E+00,1.35254E-01
-2.0245992E+00,1.29395E-01
-2.0245680E+00,1.28418E-01
-2.0245368E+00,1.25488E-01
-2.0245056E+00,1.28418E-01
-2.0244744E+00,1.26465E-01
-2.0244432E+00,1.21582E-01
-2.0244120E+00,1.15723E-01
-2.0243808E+00,1.09863E-01
-2.0243496E+00,1.09863E-01
-2.0243184E+00,1.06934E-01
-2.0242872E+00,1.01074E-01
-2.0242560E+00,9.42383E-02
-2.0242248E+00,9.03320E-02
-2.0241936E+00,8.54492E-02
-2.0241624E+00,8.15430E-02
-2.0241312E+00,7.66602E-02
-2.0241000E+00,6.88477E-02
-2.0240688E+00,6.29883E-02
-2.0240376E+00,5.90820E-02
-2.0240064E+00,5.61523E-02
-2.0239752E+00,4.24805E-02
-2.0239440E+00,4.54102E-02
-2.0239128E+00,3.27148E-02
-2.0238816E+00,2.97852E-02
-2.0238504E+00,2.19727E-02
-2.0238192E+00,2.00195E-02
-2.0237880E+00,1.02539E-02
-2.0237568E+00,1.12305E-02
-2.0237256E+00,6.34766E-03
-2.0236944E+00,-2.44141E-03
-2.0236632E+00,-5.37109E-03
-2.0236320E+00,-1.61133E-02
-2.0236008E+00,-1.90430E-02
-2.0235696E+00,-2.19727E-02
-2.0235384E+00,-2.97852E-02
-2.0235072E+00,-3.75977E-02
-2.0234760E+00,-4.24805E-02
-2.0234448E+00,-4.93164E-02
-2.0234136E+00,-5.12695E-02
-2.0233824E+00,-5.71289E-02
-2.0233512E+00,-6.39648E-02
-2.0233200E+00,-6.39648E-02
-2.0232888E+00,-6.98242E-02
-2.0232576E+00,-7.66602E-02
-2.0232264E+00,-8.15430E-02
-2.0231952E+00,-8.74023E-02
-2.0231640E+00,-9.32617E-02
-2.0231328E+00,-9.42383E-02
-2.0231016E+00,-1.04004E-01
-2.0230704E+00,-1.03027E-01
-2.0230392E+00,-1.12793E-01
-2.0230080E+00,-1.11816E-01
-2.0229768E+00,-1.17676E-01
-2.0229456E+00,-1.13770E-01
-2.0229144E+00,-1.24512E-01
-2.0228832E+00,-1.23535E-01
-2.0228520E+00,-1.28418E-01
-2.0228208E+00,-1.29395E-01
-2.0227896E+00,-1.35254E-01
-2.0227584E+00,-1.39160E-01
-2.0227272E+00,-1.39160E-01
-2.0226960E+00,-1.41113E-01
-2.0226648E+00,-1.41113E-01
-2.0226336E+00,-1.49902E-01
-2.0226024E+00,-1.45996E-01
-2.0225712E+00,-1.47949E-01
-2.0225400E+00,-1.49902E-01
-2.0225088E+00,-1.53809E-01
-2.0224776E+00,-1.54785E-01
-2.0224464E+00,-1.56738E-01
-2.0224152E+00,-1.54785E-01
-2.0223840E+00,-1.59668E-01
-2.0223528E+00,-1.60645E-01
-2.0223216E+00,-1.58691E-01
-2.0222904E+00,-1.62598E-01
-2.0222592E+00,-1.66504E-01
-2.0222280E+00,-1.62598E-01
-2.0221968E+00,-1.64551E-01
-2.0221656E+00,-1.59668E-01
-2.0221344E+00,-1.68457E-01
-2.0221032E+00,-1.69434E-01
-2.0220720E+00,-1.66504E-01
-2.0220408E+00,-1.68457E-01
-2.0220096E+00,-1.66504E-01
-2.0219784E+00,-1.69434E-01
-2.0219472E+00,-1.69434E-01
-2.0219160E+00,-1.68457E-01
-2.0218848E+00,-1.72363E-01
-2.0218536E+00,-1.70410E-01
-2.0218224E+00,-1.70410E-01
-2.0217912E+00,-1.72363E-01
-2.0217600E+00,-1.74316E-01
-2.0217288E+00,-1.74316E-01
-2.0216976E+00,-1.71387E-01
-2.0216664E+00,-1.71387E-01
-2.0216352E+00,-1.76270E-01
-2.0216040E+00,-1.76270E-01
-2.0215728E+00,-1.75293E-01
-2.0215416E+00,-1.76270E-01
-2.0215104E+00,-1.72363E-01
-2.0214792E+00,-1.72363E-01
-2.0214480E+00,-1.71387E-01
-2.0214168E+00,-1.71387E-01
-2.0213856E+00,-1.75293E-01
-2.0213544E+00,-1.71387E-01
-2.0213232E+00,-1.76270E-01
-2.0212920E+00,-1.76270E-01
-2.0212608E+00,-1.75293E-01
-2.0212296E+00,-1.71387E-01
-2.0211984E+00,-1.76270E-01
-2.0211672E+00,-1.71387E-01
-2.0211360E+00,-1.74316E-01
-2.0211048E+00,-1.72363E-01
-2.0210736E+00,-1.76270E-01
-2.0210424E+00,-1.70410E-01
-2.0210112E+00,-1.71387E-01
-2.0209800E+00,-1.72363E-01
-2.0209488E+00,-1.73340E-01
-2.0209176E+00,-1.74316E-01
-2.0208864E+00,-1.72363E-01
-2.0208552E+00,-1.72363E-01
-2.0208240E+00,-1.71387E-01
-2.0207928E+00,-1.71387E-01
-2.0207616E+00,-1.74316E-01
-2.0207304E+00,-1.68457E-01
-2.0206992E+00,-1.70410E-01
-2.0206680E+00,-1.68457E-01
-2.0206368E+00,-1.72363E-01
-2.0206056E+00,-1.68457E-01
-2.0205744E+00,-1.68457E-01
-2.0205432E+00,-1.71387E-01
-2.0205120E+00,-1.66504E-01
-2.0204808E+00,-1.69434E-01
-2.0204496E+00,-1.68457E-01
-2.0204184E+00,-1.65527E-01
-2.0203872E+00,-1.71387E-01
-2.0203560E+00,-1.65527E-01
-2.0203248E+00,-1.68457E-01
-2.0202936E+00,-1.70410E-01
-2.0202624E+00,-1.68457E-01
-2.0202312E+00,-1.67480E-01
-2.0202000E+00,-1.71387E-01
-2.0201688E+00,-1.71387E-01
-2.0201376E+00,-1.73340E-01
-2.0201064E+00,-1.71387E-01
-2.0200752E+00,-1.71387E-01
-2.0200440E+00,-1.68457E-01
-2.0200128E+00,-1.68457E-01
-2.0199816E+00,-1.71387E-01
-2.0199504E+00,-1.69434E-01
-2.0199192E+00,-1.74316E-01
-2.0198880E+00,-1.71387E-01
-2.0198568E+00,-1.71387E-01
-2.0198256E+00,-1.72363E-01
-2.0197944E+00,-1.73340E-01
-2.0197632E+00,-1.77246E-01
-2.0197320E+00,-1.79199E-01
-2.0197008E+00,-1.76270E-01
-2.0196696E+00,-1.75293E-01
-2.0196384E+00,-1.78223E-01
-2.0196072E+00,-1.79199E-01
-2.0195760E+00,-1.77246E-01
-2.0195448E+00,-1.75293E-01
-2.0195136E+00,-1.75293E-01
-2.0194824E+00,-1.76270E-01
-2.0194512E+00,-1.76270E-01
-2.0194200E+00,-1.71387E-01
-2.0193888E+00,-1.75293E-01
-2.0193576E+00,-1.74316E-01
-2.0193264E+00,-1.68457E-01
-2.0192952E+00,-1.69434E-01
-2.0192640E+00,-1.65527E-01
-2.0192328E+00,-1.68457E-01
-2.0192016E+00,-1.66504E-01
-2.0191704E+00,-1.64551E-01
-2.0191392E+00,-1.61621E-01
-2.0191080E+00,-1.59668E-01
-2.0190768E+00,-1.60645E-01
-2.0190456E+00,-1.58691E-01
-2.0190144E+00,-1.56738E-01
-2.0189832E+00,-1.57715E-01
-2.0189520E+00,-1.53809E-01
-2.0189208E+00,-1.54785E-01
-2.0188896E+00,-1.48926E-01
-2.0188584E+00,-1.47949E-01
-2.0188272E+00,-1.46973E-01
-2.0187960E+00,-1.45996E-01
-2.0187648E+00,-1.43066E-01
-2.0187336E+00,-1.40137E-01
-2.0187024E+00,-1.34277E-01
-2.0186712E+00,-1.35254E-01
-2.0186400E+00,-1.32324E-01
-2.0186088E+00,-1.32324E-01
-2.0185776E+00,-1.30371E-01
-2.0185464E+00,-1.29395E-01
-2.0185152E+00,-1.27441E-01
-2.0184840E+00,-1.26465E-01
-2.0184528E+00,-1.20605E-01
-2.0184216E+00,-1.20605E-01
-2.0183904E+00,-1.20605E-01
-2.0183592E+00,-1.17676E-01
-2.0183280E+00,-1.15723E-01
-2.0182968E+00,-1.16699E-01
-2.0182656E+00,-1.10840E-01
-2.0182344E+00,-1.07910E-01
-2.0182032E+00,-1.05957E-01
-2.0181720E+00,-1.05957E-01
-2.0181408E+00,-1.00098E-01
-2.0181096E+00,-9.71680E-02
-2.0180784E+00,-9.81445E-02
-2.0180472E+00,-9.61914E-02
-2.0180160E+00,-9.03320E-02
-2.0179848E+00,-9.42383E-02
-2.0179536E+00,-8.93555E-02
-2.0179224E+00,-9.13086E-02
-2.0178912E+00,-8.44727E-02
-2.0178600E+00,-8.54492E-02
-2.0178288E+00,-8.05664E-02
-2.0177976E+00,-8.34961E-02
-2.0177664E+00,-8.15430E-02
-2.0177352E+00,-7.95898E-02
-2.0177040E+00,-7.56836E-02
-2.0176728E+00,-7.56836E-02
-2.0176416E+00,-7.08008E-02
-2.0176104E+00,-6.88477E-02
-2.0175792E+00,-6.78711E-02
-2.0175480E+00,-6.20117E-02
-2.0175168E+00,-6.49414E-02
-2.0174856E+00,-6.39648E-02
-2.0174544E+00,-6.20117E-02
-2.0174232E+00,-6.00586E-02
-2.0173920E+00,-6.00586E-02
-2.0173608E+00,-5.41992E-02
-2.0173296E+00,-5.22461E-02
-2.0172984E+00,-5.41992E-02
-2.0172672E+00,-4.93164E-02
-2.0172360E+00,-4.83398E-02
-2.0172048E+00,-4.73633E-02
-2.0171736E+00,-4.54102E-02
-2.0171424E+00,-4.24805E-02
-2.0171112E+00,-4.15039E-02
-2.0170800E+00,-3.95508E-02
-2.0170488E+00,-3.66211E-02
-2.0170176E+00,-3.85742E-02
-2.0169864E+00,-3.36914E-02
-2.0169552E+00,-3.66211E-02
-2.0169240E+00,-3.56445E-02
-2.0168928E+00,-2.78320E-02
-2.0168616E+00,-3.07617E-02
-2.0168304E+00,-2.78320E-02
-2.0167992E+00,-2.58789E-02
-2.0167680E+00,-2.00195E-02
-2.0167368E+00,-2.19727E-02
-2.0167056E+00,-2.09961E-02
-2.0166744E+00,-2.09961E-02
-2.0166432E+00,-1.22070E-02
